Title,Price,Condition,Mileage,Year,Engine Capacity,Brand,Model
NEGO 2022 Range Rover P530 4.4 VOUGE LWB AUTOBIOGR,1310000.0,Recon,7499,,4395.0,Unknown,Unknown
2023 BMW IX xDRIVE40 SPORT I20 (BMW Dealer),298000.0,Used,2499,,,BMW,IX
2024 BMW I5 eDRIVE40 M SPORT G60 22kW (BMW Dealer),315000.0,Used,7499,,,BMW,I5
2018 Perodua MYVI 1.5 H (A)NICE RIM  GOODCONDITION,38800.0,Used,92499,2018.0,1496.0,Perodua,MYVI
2011 Toyota VELLFIRE 2.4 Z (A) FULL BODYKIT,65800.0,Used,154999,2011.0,2362.0,Toyota,VELLFIRE
2022 Honda CR-V 1.5 TC-P 2WD (A) UNDER WARRANTY,118800.0,Used,32499,2022.0,1498.0,Honda,CR-V
2013 Toyota VIOS 1.5 E ENHANCED (A) 1 OWNER,27800.0,Used,174999,2013.0,1497.0,Toyota,VIOS
2024 Toyota HILUX 2.8 GR SPORT (A)WARRANTY TOYOTA,145800.0,Used,17499,,2755.0,Toyota,HILUX
2021 Bmw 530i 2.0 M-SPORT (A) UNDER BMW WARRANTY,198800.0,Used,62499,2021.0,1998.0,BMW,530i
2016 Honda HR-V 1.8 V (A) FULL SPEC LEATHER SEAT,46800.0,Used,97499,2016.0,1799.0,Honda,HR-V
NEGO READY STOCK 2022 Bmw M135i XDRIVE 2.0 TURBO,245000.0,Recon,12499,,1998.0,BMW,M135i
2023 Honda N BOX 660 CUSTOM L TURBO (A),119000.0,Recon,12499,,658.0,Honda,N
"2024 Honda CIVIC 2.0 TYPE R FL5 (M) 386KM ONLY,6A",299000.0,Recon,2499,,1996.0,Honda,CIVIC
2010 Mercedes Benz E250 AMG P.Roof JAPAN 1Yr Wrnty,35800.0,Used,144999,2010.0,1796.0,Mercedes,Benz
2021 Toyota HARRIER 2.0 Z (A) JBL UNREG,178000.0,Recon,12499,,1986.0,Toyota,HARRIER
"2022 Lexus NX 250, 3 LED Head Lamp, HUD, 360 Cam",259000.0,Recon,32499,,2487.0,Lexus,NX
2017 Peugeot 208 1.6 GTi (M) -FACELIFT-2DOOR RARE,51800.0,Used,124999,2017.0,1598.0,Peugeot,208
2014 Bmw 316i (CKD) 1.6 (A),34800.0,Used,124999,2014.0,1598.0,BMW,316i
2016 Proton IRIZ 1.6 PREMIUM (A) SVC RECORD PROTON,18800.0,Used,124999,2016.0,1597.0,Proton,IRIZ
2022 Toyota VIOS 1.5 E (A) FACELIFT-UNDER WARRANTY,63800.0,Used,42499,2022.0,1496.0,Toyota,VIOS
S70 2025 All in Offer / Ready Stock / Gift,87000.0,New,2499,,1477.0,Unknown,Unknown
2021 Porsche MACAN FACELIFT 2.0L (A),314000.0,Recon,27499,,1984.0,Porsche,MACAN
2025 Proton X70 Duit Raya 7k + OT 1k OFFER,116800.0,New,2499,,1477.0,Proton,X70
CRAYON 2020 Porsche 911 3.0 CARRERA 4S HUGE SPEC,818000.0,Recon,17499,,2981.0,Porsche,911
"2023 Toyota ALPHARD 2.5 Z, SunRoof, 9,730Km",315000.0,Recon,7499,,2493.0,Toyota,ALPHARD
FULL LOAN 2021 Proton X70 PREMIUM 2WD 1.8L (A),69999.0,Used,52499,,1799.0,Proton,X70
FULL LOAN 2017 Perodua MYVI 1.3 X FACELIFT (A),32999.0,Used,72499,,1298.0,Perodua,MYVI
2016 FULL LOAN Mercedes Benz E250 AVANTGARDE 2.0,99999.0,Used,114999,,1991.0,Mercedes,Benz
2023 Perodua ALZA 1.5 AV (A),69999.0,Used,52499,,1495.0,Perodua,ALZA
2021 Volkswagen TIGUAN ALLSPACE HIGHLINE 1.4L (A),106999.0,Used,42499,,1395.0,Volkswagen,TIGUAN
2023 T.ALPHARD 2.5 MODESLISTA/SUNROOF/GRED 6Aa,343000.0,Recon,7499,,2493.0,Unknown,Unknown
2022 Toyota VELLFIRE 2.5 ZA GOLDEN EYE (A),203000.0,Recon,12499,,2494.0,Toyota,VELLFIRE
2021 T.ALPHARD 2.5 S TYPE GOLD/SUNROOFs,205000.0,Recon,17499,,2493.0,Unknown,Unknown
2018 Audi RS6 4.0 AVANT PERFORMANCE TFSI QUATTRO,418000.0,Used,42499,,3993.0,Audi,RS6
2023 Toyota VELLFIRE 2.4 Z PREMIER (A),408000.0,Recon,12499,,2393.0,Toyota,VELLFIRE
2023 Volkswagen TIGUAN 1.4 ALLSPACE ELEGANCE MY20,123800.0,Used,12499,2023.0,1395.0,Volkswagen,TIGUAN
2023 Lamborghini URUS S 4.0 (A) UNREG 2023,1990000.0,Recon,12499,,3996.0,Unknown,Unknown
2002 Toyota PRADO 3.0 (A),25000.0,Used,474999,,2982.0,Toyota,PRADO
NEGO 2020 Porsche CARRERA S 992 DISSIDENT KIT PDCC,760000.0,Recon,27499,,2981.0,Porsche,CARRERA
Y 2022 Mini COOPER S 2.0 3DOOR- 7 SP Ori Mileage,178000.0,Recon,12499,,1998.0,Mini,COOPER
NEGO 2020 Porsche CAYMAN T 718 2.0 PASM PDLS PLUS,420000.0,Recon,42499,,1988.0,Porsche,CAYMAN
2019 Lexus NX 300 2.0 F SPORT Red Interior 360 Cam,188000.0,Recon,27499,,1998.0,Lexus,NX
2021 Porsche PANAMERA 4 High Spec 4.5A Ori Mileage,568000.0,Recon,17499,,2894.0,Porsche,PANAMERA
2017 Honda CIVIC 1.8 i-VTEC (A),69800.0,Used,92499,2017.0,1799.0,Honda,CIVIC
NEGO 2020 PORSCHE CAYMAN 718 2.0 Sport Design,380000.0,Recon,52499,,1988.0,Porsche,CAYMAN
NEGO 2019 Porsche 718 CAYMAN PDLS+/PASM/S EXHAUST,400000.0,Recon,47499,,1988.0,Porsche,718
2021 Nissan GT-R 3.8 BLACK EDITION low Mileage,685001.0,Recon,7499,,3799.0,Nissan,GT-R
