Title,Price,Condition,Mileage,Year,Engine Capacity
Honda ACCORD 1.5 TC CV1 LaneWatch FSR60kKM LikeNEW,"RM 105,800",Used,55000 - 59999,2020,1498cc
M B A180 AMG 1.6 W176 F/L A45 B/Kit CBU JAPAN Rg21,"RM 95,500",Used,85000 - 89999,2017,1595cc
Volkswagen BEETLE 1.2 TSI (A) FULLSERVICE HEADLAMP,"RM 34,800",Used,110000 - 119999,2012,1197cc
Bmw 218i M SPORT 1.5L FACELIFT (A) WARRANTY 2027,"RM 132,800",Used,50000 - 54999,2022,1499cc
2012 Toyota VELLFIRE 2.4 2pw Dor 8Seat 360 1yWrnty,"RM 67,800",Used,120000 - 129999,2012,2362cc
2023 Toyota ALPHARD 2.5 Z DIM BSM,"RM 309,700",Recon,10000 - 14999,N/A,2493cc
2020 Toyota ALPHARD 2.5 SC DIM BSM SR,"RM 201,700",Recon,40000 - 44999,N/A,2493cc
2023 Toyota ALPHARD 2.5 Z 6A 1K MILEAGE,"RM 313,700",Recon,0 - 4999,N/A,2493cc
2020 Toyota ALPHARD 2.5 X 2PD pre crash,"RM 172,700",Recon,35000 - 39999,N/A,2493cc
2023 Mercedes Benz E200 2.0 AVNTGRDE C&C Wrnty2027,"RM 215,800",Used,65000 - 69999,2023,1991cc
2017 Mercedes Benz E200 Ori AMG JPN IMPOT 2Y Wrnty,"RM 134,800",Used,10000 - 14999,2017,1991cc
"Proton IRIZ 1.6 PREMIUM (A) FULL LOAN , CAR KING","RM 24,800",Used,70000 - 74999,N/A,1597cc
2015 Volkswagen GOLF R 2.0 MK7 Local Stage3 432Whp,"RM 125,900",Used,45000 - 49999,2015,1984cc
OFFER Perodua ALZA SE Advance OriPaint BodyKit DVD,"RM 30,900",Used,65000 - 69999,2017,1495cc
2017 Mercedes Benz E200 AMG W213 F/ServRec LowMile,"RM 109,900",Used,40000 - 44999,2017,1991cc
2019 BMW 530e G30 M-SPORT iPerformance F/S/Rec 59K,"RM 106,900",Used,50000 - 54999,2019,1998cc
Fully Loaded Honda CIVIC B20B K20A K24 Type R VTEC,"RM 62,900",Used,180000 - 189999,1995,1590cc
"2015 Nissan TEANA 2.5 XV (A) FULL LOAN , CAR KING","RM 29,800",Used,95000 - 99999,N/A,2488cc
2012 LOAN KEDAI Mercedes Benz C200 (A) W204 CGI,"RM 26,980",Used,110000 - 119999,N/A,1796cc
2015 Perodua MYVI 1.3 PREMIUM X AV WARRANTY TIPTOP,"RM 23,800",Used,90000 - 94999,2015,1298cc
TRUE 2014 Toyota VIOS 1.5 (A) 1 OWNER SELLING FAST,"RM 27,800",Used,100000 - 109999,2014,1497cc
2018 Perodua AXIA 1.0 ADVANCE LEATHER SEAT AV SPEC,"RM 25,800",Used,60000 - 64999,2018,998cc
2020 Perodua ALZA 1.5 AV FULL SERVICE LOW MILEAGE,"RM 51,800",Used,40000 - 44999,2020,1495cc
2015 Honda CR-V 2.0 ANDROID PLAYER LEATHER SEAT,"RM 43,800",Used,90000 - 94999,N/A,1997cc
Volkswagen GOLF 1.4 TSI MK7 GTI BODYKIT BLACK RIMS,"RM 37,800",Used,90000 - 94999,2013,1395cc
"2020 Lexus RX300 F SPORT 2.0 21K KM,RED SEAT,PROOF","RM 260,000",Recon,20000 - 24999,N/A,1998cc
2023 Lexus RX350 2.4 F SPORT TRD/SUPER HIGH SPEC,"RM 395,000",Recon,15000 - 19999,N/A,2393cc
"2023 Toyota ALPHARD 2.5 Z 5A,30 UNIT,HUD,MODELISTA","RM 348,000",Recon,5000 - 9999,N/A,2493cc
2021 Toyota ALPHARD 2.5 SC SUNROOF DIM BSM UNREG,"RM 226,000",Recon,25000 - 29999,N/A,2493cc
2018/2022 Toyota ALPHARD 2.5 SC (A),"RM 201,800",Used,70000 - 74999,2018,2493cc
2011 Perodua MYVI 1.3 EZi FACELIFT (A),"RM 15,200",Used,95000 - 99999,2011,1298cc
2018 Perodua MYVI 1.5 ADVANCE (A),"RM 40,800",Used,60000 - 64999,2018,1496cc
2020 Toyota ALPHARD 2.5 S TYPE GOLD (A),"RM 242,000",Recon,30000 - 34999,N/A,2493cc
S70 DISINI DISKAUN PALING TiNGGI LAST 4 UNIT SAJA,"RM 86,000",New,0 - 4999,N/A,1477cc
S70 HARGA TERENDAH DISiNI CALL SAYA REBATE TETINGI,"RM 70,800",New,0 - 4999,N/A,1477cc
S70 DISKAUN TETiNGGI CALL DAPAT HARGA PALING MURAH,"RM 82,800",New,0 - 4999,N/A,1477cc
2025 Perodua AXIA SE MY23 D74A (A),"RM 44,000",New,0 - 4999,N/A,998cc
